"a_number","b_number","duration","noDayTime","noNightTime","calleeCarrier","weight","startTime","callDay","startDate"
"621","1008","252","1","0","","1.0","11.2446","Wednesday","20151007"
"896","1116","403","8","1","","481.0","20.3021","Tuesday","20151006"
"1118","697","2","0","1","","1.0","22.3122","Thursday","20151008"
"1118","991","407","0","1","","1.0","18.3144","Thursday","20151008"
"958","1086","580","0","5","","481.0","17.0825","Wednesday","20151007"
"1382","1109","29","0","1","","1.0","18.5558","Sunday","20151011"
"1195","1196","81","0","5","","241.0","17.2457","Sunday","20151011"
"1075","1023","18","1","0","","1.0","13.1031","Monday","20151005"
"886","1207","439","0","1","","1.0","17.4502","Sunday","20151011"
"886","1116","18","1","0","","1.0","10.0639","Tuesday","20151006"
"621","1270","328","13","0","","481.0","11.4118","Thursday","20151008"
"621","1274","1880","29","0","","2641.0","10.5847","Friday","20151009"
"568","1086","1590","5","0","","1441.0","8.1453","Friday","20151009"
"1392","1273","30","1","0","","1.0","8.3031","Monday","20151005"
"654","867","181","0","1","","1.0","19.1438","Friday","20151009"
"1045","1367","245","0","5","","241.0","17.4631","Thursday","20151008"
"1045","989","2775","0","5","","2401.0","17.1012","Tuesday","20151006"
"1045","1192","655","5","0","","721.0","13.1045","Thursday","20151008"
"1045","904","4405","0","5","","3601.0","17.1428","Wednesday","20151007"
"1045","1376","3535","21","0","","3601.0","13.1417","Thursday","20151008"
"1045","1363","970","5","0","","961.0","12.3144","Saturday","20151010"
"1045","1076","110","5","0","","241.0","13.4601","Monday","20151005"
"1391","1150","131","9","0","","481.0","8.1205","Thursday","20151008"
"1285","1169","80","5","0","","241.0","15.3324","Thursday","20151008"
"1285","1215","6812","13","4","","7441.0","14.1947","Friday","20151009"
"1285","1008","291","9","0","","481.0","16.0445","Thursday","20151008"
"1285","1392","134","8","5","","721.0","17.1114","Friday","20151009"
"1310","1192","44","0","1","","1.0","18.4502","Wednesday","20151007"
"1241","568","603","1","4","","721.0","15.5743","Wednesday","20151007"
"1241","896","2025","21","0","","2161.0","11.3307","Tuesday","20151006"
"1241","1357","986","13","0","","1201.0","15.1142","Thursday","20151008"
"1241","1226","1309","9","0","","1441.0","11.2205","Tuesday","20151006"
"1241","804","1323","5","0","","1441.0","15.3043","Tuesday","20151006"
"1241","1194","1590","5","0","","1681.0","15.313","Friday","20151009"
"1241","1169","1550","5","0","","1441.0","16.3048","Friday","20151009"
"1212","989","805","9","0","","961.0","9.2118","Wednesday","20151007"
"1384","867","1300","5","0","","1441.0","12.2738","Tuesday","20151006"
"1331","1384","105","0","5","","241.0","18.3101","Wednesday","20151007"
"1275","1130","1998","13","0","","1921.0","14.2045","Wednesday","20151007"
